marca,modelo,quilometragem,fipe,valor_venda,ano_fabricacao
Chevrolet,ONIX,122973,41463,35346,2016
Renault,LOGAN,41458,42884,38311,2018
Renault,SANDERO,111283,29347,,2013
Hyundai,HB20,90836,42490,37365,2014
Fiat,ARGO,56201,49950,43849,2017
Chevrolet,ONIX,45081,53698,51646,2016
Volkswagen,TIGUIAN,69721,82236,71281,2015
Fiat,PALIO,60570,25299,19805,2014
Fiat,PALIO,207271,29829,,2014
Ford,FOCUS,135756,48798,42862,2013
Fiat,PALIO,100592,30446,24873,2013
Fiat,MOBI,81280,42847,36732,2019
Volkswagen,UP!,68642,49471,44745,2016
Fiat,CRONOS,29810,60930,55777,2018
Volkswagen,GOL,57385,40445,36863,2016
Fiat,UNO,92121,24953,,2014
Fiat,SIENA,115916,39375,32609,2014
Volkswagen,GOL,112480,28503,,2013
Renault,LOGAN,143485,26192,,2013
Renault,SANDERO,121413,29347,,2013
Volkswagen,FOX,58381,37517,32543,2014
Ford,KA,114984,37202,,2014
Ford,KA SEDAN,106968,40347,33357,2015
Fiat,UNO,136710,32738,,2015
Ford,KA,77692,43388,38690,2018
Chevrolet,PRISMA,88375,51525,,2018
Chevrolet,COBALT,82812,59342,49729,2017
Fiat,LINEA,116919,38465,30804,2014
Renault,SANDERO,73052,40944,35991,2017
Hyundai,HB20,104829,40351,36369,2013
Volkswagen,VOYAGE,171445,39733,33333,2014
Renault,SANDERO,54719,40944,36372,2017
Chevrolet,CRUZE SPORT6,52038,92365,90107,2017
Hyundai,HB20S,111919,42496,36121,2013
Volkswagen,VOYAGE,158434,48461,39946,2017
Renault,DUSTER,48623,71641,65739,2018
Fiat,UNO,93962,24953,22603,2014
Chevrolet,ONIX,80540,51907,44064,2019
Citroen,C3,118346,24892,,2011
Chevrolet,MONTANA,98406,34313,35287,2012
Chevrolet,SONIC,79031,36580,30843,2013
Chevrolet,ONIX,126418,42723,,2016
Volkswagen,VOYAGE,65069,47745,,2017
Renault,LOGAN,124104,41255,,2017
Chevrolet,ONIX,150789,46327,40054,2014
Renault,LOGAN,104813,42930,,2016
Renault,LOGAN,118527,42594,,2016
Jeep,RENEGADE,107066,78989,69559,2017
Volkswagen,VOYAGE,19282,60302,52111,2019
Citroen,AIRCROSS,48122,50593,44923,2016
Fiat,MOBI,63855,40546,,2017
Nissan,VERSA,82068,45441,39087,2017
Nissan,VERSA,75704,47635,43188,2018
Renault,SANDERO,85553,32441,,2013
Hyundai,i30,122951,41236,33873,2011
Hyundai,HB20,115022,40351,35162,2014
Fiat,BRAVO,130795,32120,,2011
Ford,FIESTA,121904,29576,24872,2013
Chevrolet,ONIX,158795,36728,31128,2013
Ford,FIESTA,64076,28352,24137,2013
Hyundai,HB20,83354,45312,39724,2016
Renault,SANDERO,44434,48057,44299,2018
Ford,FIESTA SEDAN,114047,42279,34770,2013
Hyundai,i30,118564,41236,37085,2011
Fiat,CRONOS,49817,62102,54807,2018
Ford,KA,27071,53812,50626,2020
Volkswagen,JETTA,124613,57810,51566,2013
Chevrolet,ONIX,77617,47808,42242,2017
Hyundai,HB20S,35290,54406,51070,2019
Ford,KA,36662,50184,46497,2019
Fiat,CRONOS,57410,62547,61198,2018
Hyundai,HB20,144002,42490,36365,2015
Ford,KA + SEDAN,51037,48900,43634,2018
Fiat,PALIO,124277,32457,29080,2012
Renault,LOGAN,56949,48753,42966,2018
Kia,SORENTO,126412,62992,52882,2012
Chevrolet,ONIX,86831,47808,,2018
Lifan,530,103682,28912,,2014
Nissan,MARCH,64586,43360,,2016
Fiat,DOBLO,53412,63882,,2017
Fiat,GRAND SIENA,114633,50254,40157,2019
Hyundai,TUCSON,110325,39201,34377,2011
Fiat,PALIO,149349,,,2013
Volkswagen,GOL,105097,24388,,2011
Fiat,MOBI,50149,40546,,2017
Renault,SANDERO,117839,48057,,2018
Renault,SANDERO,55922,48324,43223,2019
Toyota,COROLLA,201122,56851,49177,2011
Renault,FLUENCE,73064,50159,,2014
Fiat,MOBI,62156,42847,38389,2018
Citroen,C3,63475,46578,39244,2015
Volkswagen,FOX,83116,39733,,2014
Fiat,UNO,106311,36845,,2015
Chevrolet,COBALT,88104,47237,,2015
Fiat,DOBLO,40978,77497,,2019
Ford,KA,102516,43812,,2018
Renault,SANDERO,28842,50843,,2019
Fiat,UNO,152561,32738,,2015
Renault,LOGAN,53384,38892,33814,2016
Fiat,PALIO,101858,30768,25183,2015
Ford,KA,51837,47298,,2018
Hyundai,HB20,162686,40351,34955,2013
Renault,LOGAN,130350,42594,34420,2016
Kia,PICANTO,128041,37125,32000,2012
Volkswagen,GOL,73360,44475,38765,2017
Renault,LOGAN,64196,38836,32989,2016
Fiat,SIENA,56291,37136,30650,2014
Ford,FOCUS HATCH,130147,61035,51414,2015
